序号,机构名称,地址,邮政编码,区县代码,区县名称,医院等级,医院等次,大类,中类,小类,经济类型名称,机构管理名称
1,北京安德中医医院,北京市东城区安德路甲10号4楼101－2,100011,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
2,北京安定门中医医院,北京市东城区安外大街安德路11号一层、二层、地下一层,100011,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,股份有限（公司）,营利性医疗机构
3,北京拜尔昊城口腔医院,北京市东城区祈年大街18号院4号楼,100062,110101,东城区,二级,未评,A.医院,A5.专科医院,A511.口腔医院,其他,营利性医疗机构
4,北京成林医院,北京市东城区净土胡同15号,100011,110101,东城区,一级,合格,A.医院,A5.专科医院,A526.骨科医院,股份合作,营利性医疗机构
5,北京崇文光明医院,北京市东城区光明路甲1号,100061,110101,东城区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
6,北京崇文中方中医医院,北京市东城区定安里27号,100075,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
7,北京当代医院,北京市东城区东四北大街337号,100010,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
8,北京东城东华医院,北京市崇文区体育馆西路6号,100061,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
9,北京固生堂中医医院,北京市东城区广渠门内大街45号雍贵中心一层、二层,100062,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
10,北京国龙中医医院,北京市东城区珠市口东大街155号,100062,110101,东城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,集体全资,非营利性医疗机构
11,北京航星机器制造有限公司北京东城航星医院,北京市东城区和平里东街11号,100013,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
12,北京华都中医医院,北京市东城区安化北里丙1号,100062,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,集体全资,非营利性医疗机构
13,北京华尔医院,北京市东城区西总布胡同59号1-5层和61号1-5层,100005,110101,东城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其他,营利性医疗机构
14,北京惠民中医儿童医院,北京市东城区珠市口东大街4号1—B2、2—B1单元,100062,110101,东城区,一级,未评,A.医院,A2.中医医院,A229.其它中医专科医院,其他,营利性医疗机构
15,北京济仁中医骨病医院,北京市东城区东直门外察慈小区7号楼,100027,110101,东城区,一级,合格,A.医院,A2.中医医院,A222.骨伤医院,股份合作,营利性医疗机构
16,北京佳美医院管理有限责任公司佳美经典口腔医院,北京市东城区东长安街1号C3座E-(F1-F3)层,100005,110101,东城区,一级,合格,A.医院,A5.专科医院,A511.口腔医院,股份有限（公司）,营利性医疗机构
17,北京健安利康医院,北京市崇文区永内东街东里12号楼,100050,110101,东城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
18,北京健行中医医院,北京市东城区东四北大街248号,100007,110101,东城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
19,北京交道口中医院,北京市东城区鼓楼东大街113号,100009,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
20,北京金典糖尿病医院,北京市东城区和平里滨河路1号,100013,110101,东城区,一级,合格,A.医院,A5.专科医院,A539.其他专科医院,股份合作,营利性医疗机构
21,北京晶珠中医医院,北京市东城区精忠街5号,100050,110101,东城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
22,北京京坛医院,北京市崇文区安乐林路10号,100075,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
23,北京京一中医医院,北京市东城区和平里中街甲25号,100013,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
24,北京两广中医医院,北京市东城区兴隆都市馨园14号楼首层、负一层、负二层,100062,110101,东城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
25,北京美年中医医院,北京市东城区东四前炒面胡同33号瀚海科技大厦B座,100010,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
26,北京彭胜医院,北京市东城区天坛东路66号15号楼西侧楼1-5层,100061,110101,东城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其他,营利性医疗机构
27,北京普康中医医院,北京市东城区安外黄寺大街2号院,100011,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,股份有限（公司）,营利性医疗机构
28,北京施恩中医医院,北京市东城区永定门内东街中里3号,100050,110101,东城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
29,北京市崇文口腔医院,北京市崇文区东花市北里西区24号楼,100062,110101,东城区,一级,甲等,A.医院,A5.专科医院,A511.口腔医院,集体全资,非营利性医疗机构
30,北京市崇文区中医医院,北京市崇文区西兴隆街1号  北京市崇文区西园子三巷24号,100061,110101,东城区,二级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
31,北京市第六医院,北京市东城区交道口北二条31.36号、东城区东直门内大街184号,100007,110101,东城区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
32,北京市东城区北新桥社区服务中心,北京市东城区东直门内大街184号,100007,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
33,北京市东城区朝阳门医院,北京市东城区东四南大街灯草胡同31号,100010,110101,东城区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
34,北京市东城区第一人民医院,北京市崇文区永外大街130号,100075,110101,东城区,二级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
35,北京市东城区东外医院,北京市东城区东直门外察慈小区7号楼,100027,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
36,北京市东城区建国门医院,北京市东城区朝内南小街后赵家楼胡同9号,100005,110101,东城区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
37,北京市东城区精神卫生保健院,北京市东城区东直门外察慈小区7号楼,100027,110101,东城区,二级,合格,A.医院,A5.专科医院,A520.精神病医院,国有全资,非营利性医疗机构
38,北京市东城区口腔医院,北京市东城区交道口东大街4－28号、东四北大街490号、雍和宫大街53号,100007,110101,东城区,一级,甲等,A.医院,A5.专科医院,A511.口腔医院,国有全资,非营利性医疗机构
39,北京市东城区老年康复护理院,北京市东城区东四六条甲62号,100007,110101,东城区,一级,合格,A.医院,A7.护理院(站),A710.护理院,国有全资,非营利性医疗机构
40,北京市东四中医医院,北京市东城区东四六条甲62号、北京市东城区朝内大街97号,100007,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,集体全资,非营利性医疗机构
41,北京市鼓楼中医医院,北京市东城区豆腐池胡同13号、北京市东城区和平里中街14－2号,100009,110101,东城区,二级,甲等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
42,北京市和平里医院,北京市东城区和平里北街18号、东城区小黄庄路9号院15号楼一层102号、东城区和平里西街19号楼一层12307号,100013,110101,东城区,三级,甲等,A.医院,A3.中西医结合医院,A300.中西医结合医院,国有全资,非营利性医疗机构
43,北京市惠民医药卫生事业发展基金会北京炎黄中医医院,北京市东城区天坛路55号元隆大厦五层,100062,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,集体全资,非营利性医疗机构
44,北京市隆福医院（北京市东城区老年病医院）,北京市东城区美术馆东街18号、北京市东城区沙滩后街14号、北京市东城区三眼井胡同乙68号,100010,110101,东城区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
45,北京市普仁医院,北京市东城区崇文门外大街100号,100062,110101,东城区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
46,北京天坛普华医院,北京天坛南里12号,100050,110101,东城区,未评,未评,A.医院,A5.专科医院,A539.其他专科医院,中外合资,营利性医疗机构
47,北京同济医院,北京市东城区北京站东街11号,100005,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份有限（公司）,营利性医疗机构
48,北京同力医院,北京市东城区南剪子巷17号,100007,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
49,北京同仁堂王府井中医医院,北京市东城区东安门大街23号、北京市东城区东安门大街甲37号,100006,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,股份有限（公司）,营利性医疗机构
50,北京同仁堂中医医院,北京市东城区西打磨厂街46号,100051,110101,东城区,二级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其他,营利性医疗机构
51,北京万国中医医院,北京市东城区香河园路甲3号1号楼,100028,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,股份有限（公司）,营利性医疗机构
52,北京王府井医院,北京市东城区柏树胡同23号,100006,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
53,北京幸福医疗美容医院,北京市东城区珠市口东大街14号东配楼C座2-3层,100050,110101,东城区,未评,未评,A.医院,A5.专科医院,A529.美容医院,股份有限（公司）,营利性医疗机构
54,北京中研医院管理中心东城中医医院,北京市东城区兴化路11号,100013,110101,东城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
55,北京中医药大学东直门医院,北京市东城区海运仓5号,100700,110101,东城区,三级,甲等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
56,国家体育总局运动医学研究所体育医院,北京市崇文区体育馆路4号西门,100061,110101,东城区,一级,合格,A.医院,A5.专科医院,A539.其他专科医院,国有全资,非营利性医疗机构
57,首都医科大学附属北京妇产医院,北京市朝阳区姚家园路251号,100026,110101,东城区,三级,甲等,A.医院,A5.专科医院,A518.妇产（科）医院,国有全资,非营利性医疗机构
58,首都医科大学附属北京口腔医院,北京市崇文区天坛西里4号,100050,110101,东城区,三级,甲等,A.医院,A5.专科医院,A511.口腔医院,国有全资,非营利性医疗机构
59,首都医科大学附属北京天坛医院,北京市东城区天坛西里6号,100050,110101,东城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
60,首都医科大学附属北京同仁医院,北京市东城区东交民巷1号,100730,110101,东城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
61,首都医科大学附属北京中医医院,北京市东城区美术馆后街23号,100010,110101,东城区,三级,甲等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
62,卫生部北京医院,北京市东城区东单大华路1号,100730,110101,东城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
